frontUserName,content,createTime,commentReplyVO,memberLevel,appendCommentVO,star,itemId,color,size
j****t,罩杯有着厚的那种哈哈哈,1571148717247,,3,,5,1616018,黑色,85B
汤****,舒适，准备再下单回购,1571115365791,,4,,5,1616018,深杏色,75B
汐****,说实话，不大贴合胸型,1573206552996,,4,,3,1616018,黑色,80B
m****0,质量非常好，手感肤感舒服！,1569591683134,,5,,5,1616018,深杏色,80C
n****6,不错哦。照着提供的尺码表买的合适。穿着舒服，不会移位也不会空杯，很好。,1570841166794,,4,,5,1616018,黑色,75B
紫****铃,比有钢圈的舒服太多啦！但是能够很好的支撑。面料柔软舒适，聚拢效果很好。,1538810704768,"{'id': 20236447, 'replyContent': '感谢您的好评为严选带来激情与活力，您的好评不仅给我们带来了快乐，还极大增强了我们的自信。为了您，严选每时每刻勇往直前，渴望得到您的青睐与赏识，感谢您对严选的支持！', 'createTime': '2018-10-06 17:07:06'}",5,,5,1616018,黑色,80B
P****s,买的第二件内衣了，终于买到合适的了，有活动时还会继续买,1552399572964,,4,"{'id': 75848580, 'createTime': 1555217446408, 'content': '初试很满意，但是穿久了缺点就暴漏出来了，太厚了，买了两件现在都不怎么穿了，需要寻找别款了', 'picList': [], 'commentReplyVO': None}",5,1616018,深杏色,75A
f****a,聚拢效果明显,1572141209539,,4,,5,1616018,深杏色,75C
1****6,胸围是有点偏小，挺紧的准备用扩展片吧，这款属于调整型文胸，穿上效果很好，满意。,1569471684725,,3,,5,1616018,深杏色,75C
1****2,严选，值得信赖的，产品质量有保障，售后服务好，现在很多东西都是严选买的，很满意！,1571471518330,,6,,5,1616018,黑色,75B
奕****n,很贴身很舒服😌 怎么说呢，性价比超高，打算再买，感觉自己深度入坑 但又很开心,1564975742326,,3,,5,1616018,深杏色,80C
贤****,太舒服了，感觉就像没穿衣服，看的评价买的，选了比平时大一号的，但是穿上有点宽松，建议还是按平时穿的尺码来买！,1571279721202,,3,,5,1616018,黑色,80B
m****1,还可以，应该是冬天穿可以。以前买过薄的那款，挺好的。舒适度可以，总之不错,1572523961684,,4,,5,1616018,深杏色,85C
1****9,非常满意！看上去很好，手感也非常好，很丝滑，等清洗干净穿了之后再来追评。,1567780064183,,4,,5,1616018,深杏色,75C
好****人,质量挺好 塑形不错 看了评价买了80 平时都是75 如果罩杯厚度再薄一些会更好,1566885931942,,3,,5,1616018,深杏色,80C
1****0,美美哒！到货马上试穿了一下面料很舒服，也合身第一次在严选购物下次继续会光顾,1569406830222,,3,,5,1616018,深杏色,75B
1****0,这个必须好评，买了几次妹子，这次最合适了，胸部收的太漂亮了，生完小孩后明显下垂，只能穿这种了，特别满意,1571349892502,,5,,5,1616018,黑色,75B
o****o,没有肤色了没有😭，很舒服，虽然还是有些空杯（胸小找谁说理去。。。。）但是已经很久没有买到过这么舒适的内衣了。强烈要求肤色补货！！,1571210990071,,6,,5,1616018,黑色,80A
m****4,第二次买了，一次尺寸买错了，要买大一号的。聚拢效果很好很满意，也没有钢圈的不舒服,1561182277964,,4,,5,1616018,深杏色,80C
m****4,第二次买了，一次尺寸买错了，要买大一号的。聚拢效果很好很满意，也没有钢圈的不舒服,1561182273730,,4,,5,1616018,黑色,80C
1****0,一如严选一贯的品质……不仅不会失望，总是给你惊喜……面料太舒服了,1571663732259,,5,,5,1616018,深杏色,80B
